model_name,bs,bs_time,fps
ResNet50,1,0.4525546589676215,2.209677837106404
ResNet50,2,0.8380509785243443,2.386489666203406
ResNet50,4,1.6667816347005415,2.399834457450481
ResNet50,8,3.3948348784933287,2.356521093464935
